area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,sqft_per_bhk
Super built-up  Area,19-Dec,Electronic City Phase II,1056.0,2.0,1.0,39.07,2,3699.811,528.0
Plot  Area,Ready To Move,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4,4615.385,650.0
Built-up  Area,Ready To Move,Uttarahalli,1440.0,2.0,3.0,62.0,3,4305.556,480.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,6245.891,507.0
Super built-up  Area,Ready To Move,Kothanur,1200.0,2.0,1.0,51.0,2,4250.0,600.0
Super built-up  Area,Ready To Move,Whitefield,1170.0,2.0,1.0,38.0,2,3247.863,585.0
Super built-up  Area,18-May,Old Airport Road,2732.0,4.0,2.0,204.0,4,7467.057,683.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3300.0,4.0,2.0,600.0,4,18181.818,825.0
Super built-up  Area,Ready To Move,Marathahalli,1310.0,3.0,1.0,63.25,3,4828.244,436.667
Plot  Area,Ready To Move,Gandhi Bazar,1020.0,6.0,2.0,370.0,6,36274.51,170.0
Super built-up  Area,18-Feb,Whitefield,1800.0,2.0,2.0,70.0,3,3888.889,600.0
Plot  Area,Ready To Move,Whitefield,2785.0,5.0,3.0,295.0,4,10592.46,696.25
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,3800.0,500.0
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2,3636.364,550.0
Plot  Area,Ready To Move,Sarjapur,2250.0,3.0,2.0,148.0,3,6577.778,750.0
Super built-up  Area,Ready To Move,Mysore Road,1175.0,2.0,2.0,73.5,2,6255.319,587.5
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3,4067.797,393.333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,3896.104,513.333
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2770.0,4.0,2.0,290.0,3,10469.314,923.333
Super built-up  Area,Ready To Move,Manayata Tech Park,1100.0,2.0,2.0,48.0,2,4363.636,550.0
Built-up  Area,Ready To Move,Kengeri,600.0,1.0,1.0,15.0,1,2500.0,600.0
Super built-up  Area,19-Dec,Binny Pete,1755.0,3.0,1.0,122.0,3,6951.567,585.0
Plot  Area,Ready To Move,Thanisandra,2800.0,5.0,2.0,380.0,4,13571.429,700.0
Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3,5829.089,589.0
Super built-up  Area,18-Nov, Thanisandra,510.0,1.0,0.0,25.25,1,4950.98,510.0
Super built-up  Area,18-May,Mangammanapalya,1250.0,3.0,2.0,56.0,3,4480.0,416.667
Super built-up  Area,Ready To Move,Electronic City,660.0,1.0,1.0,23.1,2,3500.0,330.0
Built-up  Area,20-Dec,Whitefield,1610.0,3.0,2.0,81.0,3,5031.056,536.667
Super built-up  Area,17-Oct,Ramagondanahalli,1151.0,2.0,2.0,48.77,2,4237.185,575.5
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,47.0,3,4585.366,341.667
Super built-up  Area,19-Dec,Yelahanka,2475.0,4.0,0.0,186.0,4,7515.152,618.75
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,35.0,3,3255.814,358.333
Super built-up  Area,Ready To Move,Hebbal,1760.0,2.0,2.0,123.0,3,6988.636,586.667
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,3389.841,564.333
Built-up  Area,Ready To Move,Kasturi Nagar,1925.0,3.0,2.0,125.0,3,6493.506,641.667
Super built-up  Area,21-Dec,Kanakpura Road,700.0,2.0,1.0,36.0,2,5142.857,350.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,4252.336,535.0
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,2.0,125.0,3,7250.58,574.667
Super built-up  Area,Ready To Move,Chikkalasandra,1290.0,2.0,2.0,56.12,3,4350.388,430.0
Built-up  Area,Ready To Move,Uttarahalli,1143.0,2.0,2.0,45.0,2,3937.008,571.5
Built-up  Area,Ready To Move,Murugeshpalya,1296.0,2.0,2.0,81.0,2,6250.0,648.0
